similarity_pct,product_a,product_b
87%,DISTRIBUTION BOARD 6+2 TPN,DISTRIBUTION BOARD 8+6 TPN - GE
87%,DISTRIBUTION BOARD 6+2 TPN,DISTRIBUTION BOARD 8+4 TPN - GE
87%,DISTRIBUTION BOARD 6+2 TPN,DISTRIBUTION BOARD 6W TPN - PRC
87%,DISTRIBUTION BOARD 4+2 SPN,DISTRIBUTION BOARD 6+2 TPN - LS
87%,DISTRIBUTION BOARD 2+2 SPN,DISTRIBUTION BOARD 4+2 TPN - LS
87%,DISTRIBUTION BOARD 2+2 SPN,DISTRIBUTION BOARD 6+2 TPN - LS
87%,DISTRIBUTION BOARD 8+6 TPN - GE,DISTRIBUTION BOARD 8+4 SPN
87%,DISTRIBUTION BOARD 6+4 TPN - GE,DISTRIBUTION BOARD 8+4 SPN
87%,DISTRIBUTION BOARD 8+4 TPN - GE,DISTRIBUTION BOARD 6+4 SPN
87%,DISTRIBUTION BOARD 8+4 SPN,DISTRIBUTION BOARD 6+4 TPN - LS
87%,DISTRIBUTION BOARD 6+2 TPN - LS,DISTRIBUTION BOARD 6+4 SPN
87%,EX FAN PVC SQUARE 15CM - INDIGO,EX FAN PVC SQUARE 15CM - KDK
87%,EX FAN PVC SQUARE 25CM -KHIND,EX FAN PVC SQUARE 25CM - MODI
87%,EX FAN PVC SQUARE 15CM - SINAR,EX FAN PVC SQUARE 15CM - MODI
87%,EX FAN PVC SQUARE 20CM - KDK,EX FAN PVC SQUARE 20CM - INDIGO
87%,EX FAN PVC SQUARE 25CM - SINAR,EX FAN PVC SQUARE 25CM - MODI
87%,EX FAN PVC SQUARE 20CM - SINAR,EX FAN PVC SQUARE 20CM - MODI
87%,EXT SOCKET 13A 4W/3MTR - PERMA,EXT SOCKET 13A 4W/5MTR - POKA
87%,FL TUBE 4FT 36W DL - PHILIPS,FL TUBE 4FT 36W WW-GE/PHILIPS
87%,FL TUBE 5FT 58W DL-PHILIPS-GE,FL TUBE 2FT 18W DL - PHILIPS
87%,FLOOR BOX 3COMPARTMENT - REXTON,FLOOR BOX 3 COMPARTMENT - RR
87%,GI ADAPTABLE BOX 150X150X100,GI ADAPTABLE BOX 100X100X75
87%,GI ADAPTABLE BOX 150X150X100,GI ADAPTABLE BOX 100X100X50
87%,GI TRUNKING 100x75MM - 2.44MTR,GI TRUNKING 75x50MM - 2.44MTR
87%,GI TRUNKING 100x50MM - 2.44MTR,GI TRUNKING 75x75MM - 2.44MTR
87%,GLS LAMP 40W 240V E27 OPAL,GLS LAMP 40W 240V E27 - PHILIPS
87%,ISOLATOR FOR DB 3P 100A - LS,ISOLATOR FOR DB 3P 100A - XETEX
87%,ISOLATOR FOR DB 3P 100A - LS,ISOLATOR FOR DB 2P 100A - BLACK
87%,ISOLATOR FOR DB 3P 100A - GE,ISOLATOR FOR DB 3P 100A - BLACK
87%,ISOLATOR FOR DB 3P 100A - GE,ISOLATOR FOR DB 2P 100A - XETEX
87%,ISOLATOR FOR DB 3P 100A - HIMEL,ISOLATOR FOR DB 2P 100A - LS
87%,ISOLATOR FOR DB 3P 100A - BLACK,ISOLATOR FOR DB 2P 100A - LS
87%,ISOLATOR FOR DB 2P 100A - XETEX,ISOLATOR FOR DB 2P 100A - LS
87%,TELEPHONE ADAPTOR 2W RJ11,TELEPHONE ADAPTOR 2W RJ12 6PIN
87%,PL LAMP 26W 240V 4PIN DL-GE,PL LAMP 26W 240V 2PIN DL - PRC
87%,PL LAMP 26W 240V 4PIN DL-GE,PL LAMP 42W 240V 4PIN 830 GE
87%,PL LAMP 42W 240V 4PIN 830 GE,PL LAMP 26W 240V 4PIN CW-GE
87%,PL LAMP 42W 240V 4PIN 830 GE,PL LAMP 26W 240V 4PIN WW-GE
87%,RCCB 2P 40A 300MA 240V-HAGER,RCCB 2P 16A 10MA 240V - HAGER
87%,RCCB 2P 63A 300MA 240V- GE,RCCB 2P 63A 300MA 240V-ZINJLEC
87%,RCCB 4P 100A 300MA - SCHNEIDER,RCCB 4P 63A 500MA - SCHNEIDER
87%,RCCB 2P 63A 300MA 240V-ZINJLEC,RCCB 2P 63A 300MA 240V- LS
87%,RCCB 4P 63A 30MA - LEGRAND,RCCB 4P 63A 30MA - LEGRAND (402064)
87%,REFLECTOR LAMP PAR38 150W E27,REFLECTOR LAMP R63 40W E27
87%,REFLECTOR LAMP PAR38 150W E27,REFLECTOR LAMP R80 40W E27
87%,REFLECTOR LAMP PAR38 150W E27,REFLECTOR LAMP R63 60W E27
87%,REFLECTOR LAMP PAR38 150W E27,REFLECTOR LAMP R80 60W E27
87%,REFLECTOR LAMP R63 40W E27,REFLECTOR LAMP PAR38 120W E27
87%,REFLECTOR LAMP R63 40W E27,REFLECTOR LAMP PAR38 100W E27
87%,REFLECTOR LAMP R80 100W E27,REFLECTOR LAMP PAR38 80W E27
87%,REFLECTOR LAMP PAR38 120W E27,REFLECTOR LAMP R80 40W E27
87%,REFLECTOR LAMP PAR38 120W E27,REFLECTOR LAMP R63 60W E27
87%,REFLECTOR LAMP PAR38 120W E27,REFLECTOR LAMP R80 60W E27
87%,REFLECTOR LAMP R80 40W E27,REFLECTOR LAMP PAR38 100W E27
87%,REFLECTOR LAMP R63 60W E27,REFLECTOR LAMP PAR38 100W E27
87%,REFLECTOR LAMP PAR38 100W E27,REFLECTOR LAMP R80 60W E27
87%,COPPER FEMALE ELBOW 20MM 3W,"COPPER FEMALE ELBOW 1/2"" 20MM"
87%,SPIRIT LEVEL 1FT (30CM) - HARDEN,SPIRIT LEVEL 1FT (30CM) - FORTE
87%,SEALED ACID BATTERY 12V 3AH,SEALED ACID BATTERY 6V 4.5AH
87%,SEALED ACID BATTERY 6V 4.5AH,SEALED ACID BATTERY 12V 7AH
87%,CABLE FLEXIBLE 3CX2.5MM - 80 YDS BLACK- (RR) (BOLTON) INDIA,CABLE FLEXIBLE 3Cx1.5MM  - 80YDS  BOLTON (INDIA)
87%,LED BULB 30W E27 - LVC,LED BULB 3W E27 - PRC
87%,LED BULB 30W E27 - LVC,LED BULB 30W E27 - MX
87%,LED BULB 3W E27 - PRC,LED BULB 30W E27 - KSR
87%,LED BULB 30W E27 - MX,LED BULB 30W E27 - KSR
87%,LED PANEL SQ 600X600MM FLUSH 70W WH - PRO,LED PANEL SQ 600X600MM FLUSH 60W WW - ZIA
87%,CABLE FLEXIBLE 2CX0.5MM OVAL - BLK  (LOOSE),CABLE FLEXIBLE 2CX0.75MM OVAL BLK 100YDS
87%,PVC PIPE HP 1/2'-1/2MTR,"PVC PIPE HP 1-1/2"""
87%,PVC LONG BEND 32MM,PVC LONG BEND 38MM DD
87%,SW SOCKET 13A 1G-MK,SW SOCKET 13A 1G - A&T
87%,SW SOCKET 13A 2G - A&T,SW SOCKET 13A 2G - RR
87%,SW SOCKET 13A 2G - RR,SW SOCKET 13A 2G - ZIA
87%,ALUMINIUM PROFILE 20MMX15MM HD  - 2MTR,ALUMINIUM PROFILE 20MMX15MM  WITH COVER - 2MTR
87%,BELL PUSH 10A - MILAC,BELL PUSH 10A - HAILAR
87%,BULKHEAD FITTING 60W W GUARD BLACK,BULKHEAD FITTING SQ 60W WITH GUARD BLACK -SPN
87%,DRILL BIT HSS 25MM-460,DRILL BIT HSS 5MM
87%,EMERGENCY STOP PUSH BUTTON  W KEY - BS142,EMERGENCY STOP PUSH BUTTON  W KEY - XALK188
87%,"EX FAN METAL W GRILL 10"" 250MM - DIGNITY","EX FAN METAL W GRILL 8"" 200MM - DIGNITY / TECO"
87%,FAN CAPACITOR 1.6MFD,FAN CAPACITOR  1.5UF
87%,FAN CAPACITOR  1.5UF,FAN CAPACITOR 2.5MFD
87%,FL TUBE T5 4FT 28W,FL TUBE T5 4FT 32W -GE
87%,FL FITTING T5 2F 14W,FL FITTING T5 1F 8W
87%,GI BOLT NUT M8X60MM,GI BOLT NUT M10X50MM
87%,GI BOLT NUT M10X50MM,GI BOLT NUT M8X80MM
87%,GLASS FUSE 5X20 10A,GLASS FUSE 5X20 2.5A
87%,GLASS FUSE 5X20 10A,GLASS FUSE 5X20 3.5A
87%,GLASS FUSE 5X20 3A,GLASS FUSE 5X20 500MA
87%,GLASS FUSE 5X20 6A,GLASS FUSE 5X20 500MA
87%,GLASS FUSE 5X20 7A,GLASS FUSE 5X20 500MA
87%,GLASS FUSE 5X20 8A,GLASS FUSE 5X20 500MA
87%,GLASS FUSE 6X30 1A,GLASS FUSE 6X30 500MA
87%,GLASS FUSE 6X30 2A,GLASS FUSE 6X30 500MA
87%,GLASS FUSE 6X30 3A,GLASS FUSE 6X30 500MA
87%,GLASS FUSE 6X30 500MA,GLASS FUSE 6X30 6A
87%,GLASS FUSE 5X20 2A,GLASS FUSE 5X20 500MA
87%,GLASS FUSE 5X20 500MA,GLASS FUSE 5X20 1A
87%,IND WALL SOCKET 380/415V 16A 3P+E - PCE IP67,IND WALL SOCKET 415V 63A 3P+N+E - IP67
87%,MCB SP 16A - SCHNEIDER,MCB DP 3A - SCHNEIDER
87%,MCB DP 3A - SCHNEIDER,MCB TP 16A - SCHNEIDER
87%,MCB DP 3A - SCHNEIDER,MCB TP 20A - SCHNEIDER
87%,MCB DP 3A - SCHNEIDER,MCB 4P 16A - SCHNEIDER
87%,MCB DP 3A - SCHNEIDER,MCB TP 10A SCHNEIDER
87%,MCB DP 3A - SCHNEIDER,MCB SP 10A - SCHNEIDER
87%,MCB DP 3A - SCHNEIDER,MCB SP 40A - SCHNEIDER
87%,MCB DP 3A - SCHNEIDER,MCB TP 40A - SCHNEIDER
87%,MCB DP 3A - SCHNEIDER,MCB SP 20A - SCHNEIDER
87%,MCCB 2P 100A - HYUNDAI,MCCB 2P 63A - HYUNDAI
87%,METAL HALLIDE LAMP 250W 240V E40 - PHILIPS,METAL HALLIDE LAMP 250W 240V E40 - OSRAM
87%,METAL HALLIDE LAMP 150W 240V G12 D/L  -OSRAM,METAL HALLIDE LAMP 150W 240V G12 - PRC
87%,METAL HALLIDE LAMP 400W 240V E40 - PHILIPS,METAL HALLIDE LAMP 400W 240V E40 - OSRAM
87%,METAL HALLIDE LAMP 400W 240V E40 - PHILIPS,METAL HALLIDE LAMP 400W 240V E40 - TRUST
87%,OVERLOAD RELAY 7-10A,OVERLOAD RELAY 4-6A
87%,OVERLOAD RELAY 9-13A,OVERLOAD RELAY 4-6A
87%,RCCB 4P 100A 30MA - LS,RCCB 4P 63A 30MA - LS
87%,RCCB 4P 63A 300MA  - GE,RCCB 4P 63A 30MA - LS
87%,RCCB 4P 40A 300MA - GE,RCCB 4P 63A 30MA  - GE
87%,RCCB 4P 63A 30MA  - GE,RCCB 4P 63A 300MA - LS
87%,"COPPER ELBOW 1-1/2""","COPPER ELBOW 1-1/4""X1"""
87%,"PPR PIPE TEE 1-1/4""X1""",PPR PIPE TEE 1-3/4''
87%,"PPR MALE SOCKET 1""","PPR FEMALE SOCKET 32X1"""
87%,MAGNETIC CONTACTOR 240V 9A - SCHNEIDER,MAGNETIC CONTACTOR 24V DC 25A 4P - SCHNEIDER
87%,MAGNETIC CONTACTOR 48V 32A - SCHNEIDER,MAGNETIC CONTACTOR 24V DC 25A 4P - SCHNEIDER
87%,MAGNETIC CONTACTOR 240V 40A 4P - HAGER,MAGNETIC CONTACTOR 240V 25A 4P - HAGERESC325
87%,"EMT ROUND J BOX WITH COVER 3/4"" 4WAY","EMT ROUND J BOX WITH COVER 3/4"" 2WAY(THROUGH)"
87%,"EMT ROUND J BOX WITH COVER 1/2"" 4WAY","EMT ROUND J BOX WITH COVER 1/2"" 2WAY (THROUGH)"
87%,"EMT ROUND J BOX WITH COVER 3/4"" 1WAY","EMT ROUND J BOX WITH COVER 3/4"" 2WAY(THROUGH)"
87%,"EMT ROUND J BOX WITH COVER 1/2"" 1WAY","EMT ROUND J BOX WITH COVER 1/2"" 2WAY (THROUGH)"
87%,"EMT ROUND J BOX WITH COVER 1/2"" 2WAY (THROUGH)","EMT ROUND J BOX WITH COVER 1/2"" 3WAY"
87%,"EMT ROUND J BOX WITH COVER 3/4"" 2WAY(THROUGH)","EMT ROUND J BOX WITH COVER 3/4"" 3WAY"
87%,POWER ADAPTOR 12V 1A,POWER ADAPTOR 6V 2A
87%,"JUBILEE CLIP 1.1/4"" HD","JUBILEE CLIP 1.1//2"""""
87%,LED SOLAR STREET LIGHT   80W - MAX,LED SOLAR STREET LIGHT 400W - MODI
87%,LED SOLAR STREET LIGHT   80W - MAX,LED SOLAR STREET LIGHT 300W - MODI
87%,LED SOLAR STREET LIGHT   80W - MAX,LED SOLAR STREET LIGHT 200W - MODI
87%,LED FLOOD LIGHT 100W WW - PRESTON,LED FLOOD LIGHT 100W WW - ESSENCO
87%,LED FLOOD LIGHT 100W WW - PRESTON,LED FLOOD LIGHT 30W RGB - PRESTON
87%,LED FLOOD LIGHT 100W WW - PRESTON,LED FLOOD LIGHT 50W RGB - PRESTON
87%,LED FLOOD LIGHT 150W WW - PRESTON,LED FLOOD LIGHT 30W RGB - PRESTON
87%,LED FLOOD LIGHT 400W WW - PRESTON,LED FLOOD LIGHT 30W RGB - PRESTON
87%,LED FLOOD LIGHT 400W WW - PRESTON,LED FLOOD LIGHT 50W RGB - PRESTON
87%,"LED PANEL SQ 4"" 5W FLUSH - PRESTON",LED PANEL RD 5'' 9W FLUSH- PRESTON
87%,"LED PANEL RD 10"" 30W FLUSH - HIMAX","LED PANEL RD 8"" 20W FLUSH WH - MAX"
87%,"LED SURFACE LIGHT RD 8"" 35W - HIMAX","LED SURFACE LIGHT RD 6"" 12W - MAX"
87%,LED FLOOD LIGHT 100W WH - MODI,LED SOLAR FLOOD LIGHT 400W WH- MODI
87%,LED FLOOD LIGHT 150W WH - PRESTON,LED FLOOD LIGHT 30W RGB - PRESTON
87%,LED FLOOD LIGHT 200W WH - MODI / RR,LED FLOOD LIGHT 200W WH SMD - MAX
87%,"LED PANEL RD 6"" 15W FLUSH WW - MAX","LED PANEL RD 8"" 20W FLUSH WH - MAX"
87%,LED RICE LIGHT 50MTR WH- MODI,LED RICE LIGHT 50MTR WW CLEAR- MODI
87%,LED FLOOD LIGHT 200W WW - PRESTON,LED FLOOD LIGHT 30W RGB - PRESTON
87%,LED FLOOD LIGHT 200W WW - PRESTON,LED FLOOD LIGHT 50W RGB - PRESTON
87%,LED FLOOD LIGHT 30W RGB - PRESTON,LED FLOOD LIGHT 400W WH - PRESTON
87%,LED FLOOD LIGHT 30W RGB - PRESTON,LED FLOOD LIGHT 200W WH - PRESTON
87%,LED FLOOD LIGHT 400W WH - PRESTON,LED FLOOD LIGHT 50W RGB - PRESTON
87%,"LED PANEL SQ 8"" 20W FLUSH - HIMAX","LED PANEL SQ 8"" 20W FLUSH WH - NEOX"
87%,LED FLOOD LIGHT 50W RGB - PRESTON,LED FLOOD LIGHT 200W WH - PRESTON
87%,"LED PANEL RD 8"" 20W FLUSH WW - MAX","LED PANEL RD 6"" 15W FLUSH WH - MAX"
87%,"LED PANEL RD 10"" 30W FLUSH - TECO","LED PANEL RD 8"" 20W FLUSH WH -TECO"
87%,"LED PANEL RD 10"" 30W FLUSH - TECO","LED PANEL RD 8"" 20W FLUSH WW -TECO"
87%,CABLE FLEXIBLE 3CX10MM  - 80YDS,CABLE FLEXIBLE 3CX10MM  100YDS - MESC
87%,CABLE FLEXIBLE 3CX10MM  - 80YDS,CABLE FLEXIBLE 3CX4.0MM  80YDS -MESC
87%,CABLE FLEXIBLE 3CX10MM  - 80YDS,CABLE FLEXIBLE 3Cx1.5MM - 80YDS - (MESC)
87%,CABLE FLEXIBLE 4CX10MM - 80YDS,CABLE FLEXIBLE 3CX1.0MM - 80YDS MESC
87%,CABLE FLEXIBLE 4CX1.5MM 100YDS,CABLE FLEXIBLE 4CX2.5MM 80YDS - RR
87%,CABLE FLEXIBLE 5CX2.5MM - 80YDS,CABLE FLEXIBLE 3CX2.5MM - 100YDS (RR)
87%,CABLE FLEXIBLE 3CX0.75MM - 80YDS,CABLE FLEXIBLE 4CX2.5MM 80YDS - RR
87%,CABLE FLEXIBLE 3CX0.50MM - 80YDS,CABLE FLEXIBLE 4CX2.5MM 80YDS - RR
87%,PVC BLANK PLATE 3X3 - MALLIA WH,PVC BLANK PLATE 3X3 - MALLIA SILVER
87%,PVC TRUNKING 100X50MM-DIGNITY,PVC TRUNKING 50X50MM-DIGNITY / VOLT
87%,PVC ADAPTABLE BOX WP 8X8X3 - TOSUN,PVC ADAPTABLE BOX WP 8X6X3 - GEO
87%,PVC JUNCTION BOX 20MM 2W - DD,PVC JUNCTION BOX 20MM 2W THROUGH - DD
87%,PVC ST TRUNKING 40X25MM - DIGNITY,PVC ST TRUNKING 16X16MM-DIGNITY
87%,PVC JUNCTION BOX 25MM 2W ANGLE (BLK),PVC JUNCTION BOX 25MM 1W (BLK)
87%,PVC JUNCTION BOX 25MM 2W ANGLE (BLK),PVC JUNCTION BOX 25MM 3W (BLK)
87%,SWITCH 45A COOKER C UNIT - MILAC,SWITCH 45A COOKER C UNIT - BELANKO
87%,DIMMER SWITCH 1000W 2W - STARLUX,DIMMER SWITCH 500W 1G 1W - STARLUX
87%,ALUMINIUM PROFILE 12.2 X 7MM X 2MTR,ALUMINIUM PROFILE 12MMX2MTR
87%,CEILING MOUNT EX FAN 250MM-ORIENT,CEILING MOUNT EX FAN 250MM - MX
87%,CEILING MOUNT EX FAN 250MM-ORIENT,CEILING MOUNT EX FAN 150MM - RR
87%,CEILING MOUNT EX FAN 250MM-ORIENT,CEILING MOUNT EX FAN 200MM - RR
87%,CEILING MOUNT EX FAN 200MM - RR,CEILING MOUNT EX FAN 200MM - INDIGO
87%,DISTRIBUTION BOARD 2+2 TPN - LS,DISTRIBUTION BOARD 4+2 TPN - AEOLEC
87%,DISTRIBUTION BOARD 8+4 TPN - LS,DISTRIBUTION BOARD 6+4 TPN - AOELEC
87%,DISTRIBUTION BOARD 8W TPN - HYUNDAI,DISTRIBUTION BOARD 8+6 TPN - HY
87%,DISTRIBUTION BOARD 4+4 TPN - LS,DISTRIBUTION BOARD 6+4 TPN - AOELEC
87%,DISTRIBUTION BOARD 4+4 TPN - LS,DISTRIBUTION BOARD 8+4 TPN - AEOLEC
87%,DISTRIBUTION BOARD 4+4 TPN - LS,DISTRIBUTION BOARD 4+2 TPN - AEOLEC
87%,DISTRIBUTION BOARD 6+4 TPN - AOELEC,DISTRIBUTION BOARD 8+4 TPN - GE
87%,DISTRIBUTION BOARD 6+4 TPN - AOELEC,DISTRIBUTION BOARD 6+2 TPN - LS
87%,DISTRIBUTION BOARD 8+4 TPN - AEOLEC,DISTRIBUTION BOARD 8+6 TPN - GE
87%,DISTRIBUTION BOARD 8+4 TPN - AEOLEC,DISTRIBUTION BOARD 6+4 TPN - GE
87%,DISTRIBUTION BOARD 8+4 TPN - AEOLEC,DISTRIBUTION BOARD 6+4 TPN - LS
87%,DISTRIBUTION BOARD 4+2 TPN - PRC,DISTRIBUTION BOARD 4+2 TPN - MAXGE
87%,DISTRIBUTION BOARD 4+2 TPN - LS,DISTRIBUTION BOARD 4+2 SPN - AEOLEC
87%,DISTRIBUTION BOARD 4+2 TPN - LS,DISTRIBUTION BOARD 2+2 TPN - AOELEC
87%,DISTRIBUTION BOARD 8W SPN - GACIA,DISTRIBUTION BOARD 8W SPN - MAXGE
87%,DISTRIBUTION BOARD 6+2 TPN - LS,DISTRIBUTION BOARD 4+2 TPN - AEOLEC
87%,DISTRIBUTION BOARD 6+2 TPN - LS,DISTRIBUTION BOARD 2+2 TPN - AOELEC
87%,E SAVING LAMP 26W E27 SPIRAL -BN,E SAVING LAMP 15W E27 SPIRAL- GE
87%,EXT SOCKET 13A 4W- PERMA MASTERPLUG,EXT SOCKET 13A 1W -  MASTERPLUG
87%,FAN REGULATOR DIMMER 500W-KHIND,FAN REGULATOR DIMMER 500W-MICRA
87%,FLY KILLER TUBE T5 6W BL-TOSHIBA,FLY KILLER TUBE T5 8W BL - OSRAM
87%,GI TRUNKING TEE 150x150MM - 2.44MTR,GI TRUNKING 100x100MM - 2.44MTR
87%,IND MOBILE SOCKET 220V 63A 2P+E,IND MOBILE SOCKET 415V 63A 3P+E
87%,IND MOBILE SOCKET 220V 63A 2P+E,IND MOBILE SOCKET 415V 32A 2P+E
87%,IND MOBILE SOCKET 415V 63A 3P+E,IND MOBILE SOCKET 110V 16A 2P+E
87%,IND MALE PLUG 415V 16A 3P+N+E,IND MALE PLUG 380/415V 32A 3P+N+E
87%,IND WALL SOCKET 380/415V 16A 3P+E,IND WALL SOCKET 415V 32A 3P+E
87%,IND WALL SOCKET 220V 32A 2P+E,IND WALL SOCKET 220V 16A 2P+E (PCE)
87%,IND WALL SOCKET 220V 16A 2P+E,IND WALL SOCKET 110V 16A 2P+E (PCE)
87%,IND WALL SOCKET 220V 16A 2P+E,IND WALL SOCKET 220V 32A 2P+E - (PCE)
87%,IND MOBILE SOCKET 110V 16A 2P+E,IND MOBILE SOCKET 415V 32A 2P+E
87%,METAL ENCLOSURE WP 300X300X200,METAL ENCLOSURE WP 300X200X150MM
87%,METAL ENCLOSURE WP 500X400X200,METAL ENCLOSURE WP 300X250X200MM
87%,MULTI ADAPTOR 13A 3W - DACHANG,MULTI  ADAPTOR 13A WITH USB - DACHANG
87%,OVERLOAD RELAY 5.5-8A SCHNEIDER,OVERLOAD RELAY 16-25A SCHNEIDER
87%,OVERLOAD RELAY 5.5-8A SCHNEIDER,OVERLOAD RELAY 30 - 40A  -SCHNEIDER
87%,OVERLOAD RELAY 16-25A SCHNEIDER,OVERLOAD RELAY 30 - 40A  -SCHNEIDER
87%,PRE INS. BUD TERMINAL 1.5MM FEMALE,PRE INS. TERMINAL 4/6MM FEMALE
87%,PRE INS. TERMINAL 1.5MM FEMALE,PRE INS. BUD TERMINAL 4/6MM FEMALE
87%,PRE INS. TERMINAL 2.5MM FEMALE,PRE INS. BUD TERMINAL 4/6MM FEMALE
87%,PRE INS. TERMINAL 4/6MM FEMALE,PRE INS. BUD TERMINAL 2.5MM FEMALE
87%,PRE INS. TERMINAL 2.5MM M/FEMALE,PRE INS. BUD TERMINAL 2.5MM MALE
87%,WP METALCLAD ISOLATOR  40A TPN,WP METALCLAD ISOLATOR  25A TPN - C&S
87%,MAGNETIC CONTACTOR 415V 40A - PRC,MAGNETIC CONTACTOR 240V 12A - PRC
87%,LATCHING RELAY 230V 16A - HAGER,LATCHING RELAY 230V 16A - SCHNEIDER
87%,KITCHEN SINK MIXER  -MILANO DALLAS,KITCHEN SINK MIXER  -MILANO LION
87%,LED DICHROIC LAMP 7W GU10 WW NON  DIM - OSRAM,LED DICHROIC LAMP 5.5W GU10 WH / CW DIM  - OSRAM
87%,LED EXIT LIGHT TRANSPARENT W/ DOWN ARROW,LED EXIT LIGHT TRANSPARENT W/ DOUBLE SIDE ARROW
87%,LED DICHROIC LAMP 5.5W GU10 WH / CW DIM  - OSRAM,LED DICHROIC LAMP 5W GU10 DL NON DIM - OSRAM
87%,CABLE FLEXIBLE 2CX1.00MM ROUND BK (80YDS)- TURKEY,CABLE FLEXIBLE 2CX1.00MM ROUND WH 80YDS
87%,IND WALL SOCKET INTERLOCKED 240V 32A 2P+E IP67 - PCE,IND WALL SOCKET INTERLOCKED 220V 16A 2P+E IP67 - PCE 61132-6
87%,LED FITTING W DIFFUCER 4X24W - MODI,LED FITTING W DIFFUCER 4FT 100W - MODI
87%,"LED SURFACE LIGHT SQ 10"" 20W  -WELLUCK","LED SURFACE LIGHT RD 4"" 10W - WELLUCK"
87%,"LED SURFACE LIGHT RD 6"" 15W - WELLUCK","LED SURFACE LIGHT RD 10"" 30W - WELLUCH"
87%,LED DRIVE 12V 300W W PROOF-KOREA,LED DRIVE 12V 150W W PROOF IP65 - KOREA
87%,LED TUBE 5FT  26W DL - MODI,LED TUBE 4' 22W DL - MODI
87%,LED DRIVE 12V 150W W PROOF IP65 - KOREA,LED DRIVE 12V 200W W PROOF - KOREA
87%,LED DRIVE 12V 150W W PROOF IP65 - KOREA,LED DRIVE 12V 400W W PROOF-KOREA
87%,LED FITTING W DIFFUCER 4FT 32W- MX,LED FITTING W DIFFUCER 4FT 100W - MODI
87%,"LED SURFACE LIGHT SQ 8"" 20W WH -TECO","LED SURFACE LIGHT SQ 8"" 20W - MAX / LEON"
87%,"LED SURFACE LIGHT SQ 8"" 20W WH -TECO","LED SURFACE LIGHT SQ 8"" 20W WH - HIMAX"
87%,"LED SURFACE LIGHT SQ 8"" 20W WW -TECO","LED SURFACE LIGHT SQ 8"" 20W - MAX / LEON"
87%,LED BULB 12W B22 WW - MX,LED BULB 12W B22 - WELLMAX
87%,LED FITTING W DIFFUCER 4F 80W - ROLA,LED FITTING W DIFFUCER 4FT 100W - MAX
87%,LED TUBE 2FT 15W WH - RR,LED TUBE 2FT 50W WH - ROLA
87%,LED BULB 7W E27 - LIPER,LED BULB 12W E27 WW - LIPER
87%,LED DICHROIC LAMP 5.5W GU5.3 WW NON DIM - OSRAM,LED DICHROIC LAMP 4.9W  GU5.3 W/W MR16 DIM - OSRAM
87%,"LED SURFACE LIGHT SQ 10"" 30W WH -TECO","LED SURFACE LIGHT RD 8"" 20W WH -TECO"
87%,LED EXIT LIGHT SINGLE W/ARROW- DOWN,LED EXIT LIGHT SINGLE W/ARROW- RIGHT
87%,LAMP HOLDER CERAMIC E14,LAMP HOLDER CERAMIC B22
87%,LAMP HOLDER CERAMIC B22,LAMP HOLDER CERAMIC E40
87%,CABLE FLEXIBLE 5CX1.5MM,CABLE FLEXIBLE 4CX6.0MM
87%,CABLE FLEXIBLE 4CX1.0MM 100YDS MESC,CABLE FLEXIBLE 3CX2.5MM - 80YDS (MESC)
87%,CABLE TIE BASE 20X20 - LOOSE,CABLE TIE BASE 20X20
87%,CABLE FLEXIBLE 3CX6.0MM 100YDS - MESC,CABLE FLEXIBLE 4CX2.5MM 80YDS - MESC
87%,CABLE FLEXIBLE 3CX2.5MM - 80YDS (DUCAB),CABLE FLEXIBLE 4CX2.5MM 80YDS - MESC
87%,CABLE FLEXIBLE 3CX2.5MM - 80YDS (DUCAB),CABLE FLEXIBLE 3Cx1.5MM - 80YDS - (MESC)
87%,CABLE LUGS M95X8-12 - HEX,CABLE LUGS M16X8-10 - HEX
87%,CABLE FLEXIBLE 3CX4.0MM  100YDS  - MESC,CABLE FLEXIBLE 4CX2.5MM 80YDS - MESC
87%,CABLE FLEXIBLE 3CX2.5MM - 80YDS (RR),CABLE FLEXIBLE 3CX2.5MM - 100YDS (TURKEY)
87%,CABLE LUGS M70X8-12 - HEX,CABLE LUGS M35X8-10 - HEX
87%,CABLE LUGS M70X8-12 - HEX,CABLE LUGS M16X8-10 - HEX
87%,CABLE LUGS M70X8-12 - HEX,CABLE LUGS M25X8-10 - HEX
87%,CABLE FLEXIBLE 4CX1.5MM 80YDS LOOSE,CABLE FLEXIBLE 4CX2.5MM 80YDS - MESC
87%,CABLE FLEXIBLE 4CX1.5MM 80YDS LOOSE,CABLE FLEXIBLE 3Cx1.5MM - 80YDS - (MESC)
87%,CABLE FLEXIBLE 3Cx1.5MM - 80YDS  CABTEK /MAXTON,CABLE FLEXIBLE 3Cx1.5MM BLACK-80YDS (CABTEK) (BOLTON)
87%,PVC ADAPTABLE BOX 6X6X2,PVC ADAPTABLE BOX 3X3X3
87%,PVC ADAPTABLE BOX 6X6X2,PVC ADAPTABLE BOX 9X9X3
87%,PVC ADAPTABLE BOX 6X6X2,PVC ADAPTABLE BOX 9X9X4
87%,PVC ADAPTABLE BOX 6X6X2,PVC ADAPTABLE BOX 4X4X3
87%,PVC ADAPTABLE BOX 9X6X2,PVC ADAPTABLE BOX 3X3X3
87%,PVC ADAPTABLE BOX 9X6X2,PVC ADAPTABLE BOX 4X4X3
